IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000004,East Midlands region,Region,Persons,5-16 yrs,,,2015,9.39910613947305,,,,,59966.4851519609,638002,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E06000015,Derby,County & UA,Persons,5-16 yrs,,,2015,9.82561230049483,,,,,3739.52978544533,38059,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E06000016,Leicester,County & UA,Persons,5-16 yrs,,,2015,10.6766926681255,,,,,5542.4846978773,51912,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E06000017,Rutland,County & UA,Persons,5-16 yrs,,,2015,8.20932799669592,,,,,437.310902383992,5327,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E06000018,Nottingham,County & UA,Persons,5-16 yrs,,,2015,10.5631666443241,,,,,4368.71446075955,41358,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E10000007,Derbyshire,County & UA,Persons,5-16 yrs,,,2015,9.27241945254789,,,,,9499.22283235721,102446,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E10000018,Leicestershire,County & UA,Persons,5-16 yrs,,,2015,8.66415039345811,,,,,7874.58636810227,90887,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E10000019,Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,9.37480286397965,,,,,8761.22201653218,93455,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E10000021,Northamptonshire,County & UA,Persons,5-16 yrs,,,2015,9.14572373317598,,,,,9768.18169045593,106806,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000004,East Midlands region,E10000024,Nottinghamshire,County & UA,Persons,5-16 yrs,,,2015,9.21852628399004,,,,,9933.14644152495,107752,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,3.57064528486776,,,,,271442.918300894,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E92000001,England,E12000004,East Midlands region,Region,Persons,5-16 yrs,,,2015,3.63445909131781,,,,,23187.9216917895,638002,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E06000015,Derby,County & UA,Persons,5-16 yrs,,,2015,3.76596782760115,,,,,1433.28969550672,38059,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E06000016,Leicester,County & UA,Persons,5-16 yrs,,,2015,4.09121749879573,,,,,2123.83282797484,51912,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E06000017,Rutland,County & UA,Persons,5-16 yrs,,,2015,3.30271801980634,,,,,175.935788915084,5327,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E06000018,Nottingham,County & UA,Persons,5-16 yrs,,,2015,4.05488564966604,,,,,1677.01960698888,41358,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E10000007,Derbyshire,County & UA,Persons,5-16 yrs,,,2015,3.60715670323993,,,,,3695.38775620118,102446,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E10000018,Leicestershire,County & UA,Persons,5-16 yrs,,,2015,3.35665443175984,,,,,3050.76251339357,90887,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E10000019,Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,3.64134217727362,,,,,3403.01633177106,93455,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E10000021,Northamptonshire,County & UA,Persons,5-16 yrs,,,2015,3.52077687987437,,,,,3760.40095431862,106806,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000004,East Midlands region,E10000024,Nottinghamshire,County & UA,Persons,5-16 yrs,,,2015,3.56866658944099,,,,,3845.30962345446,107752,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,5.59542157587247,,,,,425367.809038713,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E92000001,England,E12000004,East Midlands region,Region,Persons,5-16 yrs,,,2015,5.70063225532266,,,,,36370.1478016037,638002,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E06000015,Derby,County & UA,Persons,5-16 yrs,,,2015,6.04346975244267,,,,,2300.08415308216,38059,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E06000016,Leicester,County & UA,Persons,5-16 yrs,,,2015,6.65997071090759,,,,,3457.32399544635,51912,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E06000017,Rutland,County & UA,Persons,5-16 yrs,,,2015,4.71952746053313,,,,,251.4092278226,5327,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E06000018,Nottingham,County & UA,Persons,5-16 yrs,,,2015,6.59808911134051,,,,,2728.83769466821,41358,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E10000007,Derbyshire,County & UA,Persons,5-16 yrs,,,2015,5.5938226984534,,,,,5730.64760165757,102446,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E10000018,Leicestershire,County & UA,Persons,5-16 yrs,,,2015,5.14851651453381,,,,,4679.33220456434,90887,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E10000019,Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,5.67327899362789,,,,,5301.96288349494,93455,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E10000021,Northamptonshire,County & UA,Persons,5-16 yrs,,,2015,5.51261380176564,,,,,5887.80229711381,106806,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000004,East Midlands region,E10000024,Nottinghamshire,County & UA,Persons,5-16 yrs,,,2015,5.56243439074413,,,,,5993.63430471462,107752,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,1.50732857863566,,,,,114588.158604602,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E92000001,England,E12000004,East Midlands region,Region,Persons,5-16 yrs,,,2015,1.53065397422735,,,,,9765.60296864995,638002,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E06000015,Derby,County & UA,Persons,5-16 yrs,,,2015,1.64225266637875,,,,,625.024942297087,38059,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E06000016,Leicester,County & UA,Persons,5-16 yrs,,,2015,1.81826500885174,,,,,943.897731395115,51912,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E06000017,Rutland,County & UA,Persons,5-16 yrs,,,2015,1.2168877670848,,,,,64.8236113526072,5327,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E06000018,Nottingham,County & UA,Persons,5-16 yrs,,,2015,1.79871147830987,,,,,743.911093199394,41358,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E10000007,Derbyshire,County & UA,Persons,5-16 yrs,,,2015,1.48645117190528,,,,,1522.80976757008,102446,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E10000018,Leicestershire,County & UA,Persons,5-16 yrs,,,2015,1.38392533749374,,,,,1257.80822148794,90887,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E10000019,Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,1.49777663911839,,,,,1399.74715808809,93455,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E10000021,Northamptonshire,County & UA,Persons,5-16 yrs,,,2015,1.49574984209529,,,,,1597.5505763483,106806,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000004,East Midlands region,E10000024,Nottinghamshire,County & UA,Persons,5-16 yrs,,,2015,1.49301947992347,,,,,1608.75835000714,107752,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91146,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,,,E92000001,England,England,Persons,16+ yrs,,,2013,,,,,,813128.352,6227694,Value estimated,Cannot be calculated,Not compared,Not compared,20130000,,
91146,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,E92000001,England,E12000004,East Midlands region,Region,Persons,16+ yrs,,,2013,71891.469,,,,,71891.469,551621,Value estimated,Cannot be calculated,Not compared,Not compared,20130000,,
