IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000006,East of England region,Region,Persons,5-16 yrs,,,2015,8.81080571751504,,,,,74881.0113078453,849877,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000031,Peterborough,County & UA,Persons,5-16 yrs,,,2015,9.84653698830053,,,,,2902.759104151,29480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000032,Luton,County & UA,Persons,5-16 yrs,,,2015,9.76536616732551,,,,,3452.74051578128,35357,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000033,Southend-on-Sea,County & UA,Persons,5-16 yrs,,,2015,9.06326618882509,,,,,2257.20644432689,24905,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000034,Thurrock,County & UA,Persons,5-16 yrs,,,2015,9.50271412883374,,,,,2492.27683456923,26227,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000055,Bedford,County & UA,Persons,5-16 yrs,,,2015,9.08221486183349,,,,,2237.58527550992,24637,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E06000056,Central Bedfordshire,County & UA,Persons,5-16 yrs,,,2015,8.40526857800325,,,,,3268.30463387079,38884,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E10000003,Cambridgeshire,County & UA,Persons,5-16 yrs,,,2015,8.37273134052217,,,,,7285.78335789558,87018,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E10000012,Essex,County & UA,Persons,5-16 yrs,,,2015,8.71428011595596,,,,,17390.1302566006,199559,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E10000015,Hertfordshire,County & UA,Persons,5-16 yrs,,,2015,8.19125656375678,,,,,14164.4027626139,172921,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E10000020,Norfolk,County & UA,Persons,5-16 yrs,,,2015,9.32294293873203,,,,,10278.8242782402,110253,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000006,East of England region,E10000029,Suffolk,County & UA,Persons,5-16 yrs,,,2015,9.07167122997122,,,,,9129.36705899384,100636,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,3.57064528486776,,,,,271442.918300894,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E92000001,England,E12000006,East of England region,Region,Persons,5-16 yrs,,,2015,3.39724660152126,,,,,28872.4174996108,849877,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000031,Peterborough,County & UA,Persons,5-16 yrs,,,2015,3.7318507184287,,,,,1100.14959179278,29480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000032,Luton,County & UA,Persons,5-16 yrs,,,2015,3.6796315562567,,,,,1301.00732934568,35357,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000033,Southend-on-Sea,County & UA,Persons,5-16 yrs,,,2015,3.48673926702266,,,,,868.372414451993,24905,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000034,Thurrock,County & UA,Persons,5-16 yrs,,,2015,3.62790773058096,,,,,951.491360499469,26227,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000055,Bedford,County & UA,Persons,5-16 yrs,,,2015,3.48858045880815,,,,,859.481567636563,24637,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E06000056,Central Bedfordshire,County & UA,Persons,5-16 yrs,,,2015,3.25117620164689,,,,,1264.18735424838,38884,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E10000003,Cambridgeshire,County & UA,Persons,5-16 yrs,,,2015,3.25845453256364,,,,,2835.44196514623,87018,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E10000012,Essex,County & UA,Persons,5-16 yrs,,,2015,3.35891993652703,,,,,6703.02703613398,199559,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E10000015,Hertfordshire,County & UA,Persons,5-16 yrs,,,2015,3.18070843005205,,,,,5500.11282433031,172921,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E10000020,Norfolk,County & UA,Persons,5-16 yrs,,,2015,3.58748771357829,,,,,3955.31282885147,110253,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000006,East of England region,E10000029,Suffolk,County & UA,Persons,5-16 yrs,,,2015,3.50176648828739,,,,,3524.0377231529,100636,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,5.59542157587247,,,,,425367.809038713,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E92000001,England,E12000006,East of England region,Region,Persons,5-16 yrs,,,2015,5.28447501638206,,,,,44911.5377349774,849877,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000006,East of England region,E06000031,Peterborough,County & UA,Persons,5-16 yrs,,,2015,6.05622867250363,,,,,1785.37621265407,29480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000006,East of England region,E06000032,Luton,County & UA,Persons,5-16 yrs,,,2015,6.06762494100715,,,,,2145.3301503919,35357,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000006,East of England region,E06000033,Southend-on-Sea,County & UA,Persons,5-16 yrs,,,2015,5.47991268014402,,,,,1364.77225298987,24905,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000006,East of England region,E06000034,Thurrock,County & UA,Persons,5-16 yrs,,,2015,5.81169494793495,,,,,1524.2332339949,26227,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000006,East of England region,E06000055,Bedford,County & UA,Persons,5-16 yrs,,,2015,5.47435187516648,,,,,1348.71607148477,24637,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
