IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000002,North West region,Region,Persons,5-16 yrs,,,2015,9.57595032831793,,,,,95151.047399318,993646,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000006,Halton,County & UA,Persons,5-16 yrs,,,2015,10.1605996517209,,,,,1904.19798072902,18741,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000007,Warrington,County & UA,Persons,5-16 yrs,,,2015,8.88001798633359,,,,,2613.03409265852,29426,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000008,Blackburn with Darwen,County & UA,Persons,5-16 yrs,,,2015,10.1812888266791,,,,,2562.93583633993,25173,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000009,Blackpool,County & UA,Persons,5-16 yrs,,,2015,10.3038062509409,,,,,1902.2887100487,18462,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000049,Cheshire East,County & UA,Persons,5-16 yrs,,,2015,8.40926683842338,,,,,4217.75187547963,50156,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E06000050,Cheshire West and Chester,County & UA,Persons,5-16 yrs,,,2015,8.8267741227393,,,,,3849.62099815029,43613,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000001,Bolton,County & UA,Persons,5-16 yrs,,,2015,9.77478929491587,,,,,4206.67832095999,43036,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000002,Bury,County & UA,Persons,5-16 yrs,,,2015,9.02828300960322,,,,,2519.70350515016,27909,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000003,Manchester,County & UA,Persons,5-16 yrs,,,2015,10.4670192347582,,,,,7628.57295867649,72882,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000004,Oldham,County & UA,Persons,5-16 yrs,,,2015,10.0542911089055,,,,,3857.52986975378,38367,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000005,Rochdale,County & UA,Persons,5-16 yrs,,,2015,10.0667893871578,,,,,3320.42981146013,32984,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000006,Salford,County & UA,Persons,5-16 yrs,,,2015,10.0026709007151,,,,,3363.19803694744,33623,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000007,Stockport,County & UA,Persons,5-16 yrs,,,2015,8.6787460169718,,,,,3513.76389989137,40487,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000008,Tameside,County & UA,Persons,5-16 yrs,,,2015,9.89633051211421,,,,,3123.87568945397,31566,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000009,Trafford,County & UA,Persons,5-16 yrs,,,2015,8.3769426617179,,,,,3035.05009576701,36231,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000010,Wigan,County & UA,Persons,5-16 yrs,,,2015,9.78780198450154,,,,,4386.30558133452,44814,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000011,Knowsley,County & UA,Persons,5-16 yrs,,,2015,10.5308569648344,,,,,2203.47651132194,20924,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000012,Liverpool,County & UA,Persons,5-16 yrs,,,2015,10.410396139184,,,,,5942.15001228485,57079,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000013,St. Helens,County & UA,Persons,5-16 yrs,,,2015,10.0576218513602,,,,,2391.4007475979,23777,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000014,Sefton,County & UA,Persons,5-16 yrs,,,2015,9.39514612828757,,,,,3305.11845647029,35179,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E08000015,Wirral,County & UA,Persons,5-16 yrs,,,2015,9.58370016281206,,,,,4270.88014055557,44564,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E10000006,Cumbria,County & UA,Persons,5-16 yrs,,,2015,9.41171341553212,,,,,5843.82697683805,62091,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000002,North West region,E10000017,Lancashire,County & UA,Persons,5-16 yrs,,,2015,9.30396482068488,,,,,15124.7112918018,162562,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
