IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000009,South West region,Region,Persons,5-16 yrs,,,2015,8.88370650084991,,,,,63257.2316728868,712059,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000022,Bath and North East Somerset,County & UA,Persons,5-16 yrs,,,2015,8.34554762820449,,,,,1926.06893711332,23079,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000023,Bristol,County & UA,Persons,5-16 yrs,,,2015,9.52796713514109,,,,,5465.81362674504,57366,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000024,North Somerset,County & UA,Persons,5-16 yrs,,,2015,8.58930336909581,,,,,2435.23929120604,28352,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000025,South Gloucestershire,County & UA,Persons,5-16 yrs,,,2015,8.50164199562573,,,,,3214.30080570617,37808,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000026,Plymouth,County & UA,Persons,5-16 yrs,,,2015,9.69052857250162,,,,,3202.91350378324,33052,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000027,Torbay,County & UA,Persons,5-16 yrs,,,2015,9.54285647509828,,,,,1563.3107477506,16382,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000028,Bournemouth,County & UA,Persons,5-16 yrs,,,2015,8.88740961499565,,,,,1927.23477501181,21685,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000029,Poole,County & UA,Persons,5-16 yrs,,,2015,8.87180075470227,,,,,1747.56731266125,19698,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000030,Swindon,County & UA,Persons,5-16 yrs,,,2015,9.20001743001695,,,,,2882.08946030141,31327,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000052,Cornwall,County & UA,Persons,5-16 yrs,,,2015,9.0886379962057,,,,,6317.23961202269,69507,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000053,Isles of Scilly,County & UA,Persons,5-16 yrs,,,2015,7.92633144095698,,,,,21.0840416329456,266,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E06000054,Wiltshire,County & UA,Persons,5-16 yrs,,,2015,8.44906441084467,,,,,5902.00945355144,69854,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E10000008,Devon,County & UA,Persons,5-16 yrs,,,2015,8.74373492849649,,,,,8354.37641213054,95547,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000009,South West region,E10000009,Dorset,County & UA,Persons,5-16 yrs,,,2015,8.6471234702768,,,,,4569.83181157188,52848,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
