IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000008,South East region,Region,Persons,5-16 yrs,,,2015,8.50158408840068,,,,,107485.952708854,1264305,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000035,Medway,County & UA,Persons,5-16 yrs,,,2015,9.57753328039133,,,,,3928.0337242869,41013,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000036,Bracknell Forest,County & UA,Persons,5-16 yrs,,,2015,8.26083288252223,,,,,1522.6367169065,18432,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000037,West Berkshire,County & UA,Persons,5-16 yrs,,,2015,8.12594220825499,,,,,1949.81983287079,23995,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000038,Reading,County & UA,Persons,5-16 yrs,,,2015,8.99561294040979,,,,,2008.81032572291,22331,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000039,Slough,County & UA,Persons,5-16 yrs,,,2015,9.59155107075212,,,,,2454.76566553759,25593,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000040,Windsor and Maidenhead,County & UA,Persons,5-16 yrs,,,2015,7.72275525676123,,,,,1755.84563517723,22736,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000041,Wokingham,County & UA,Persons,5-16 yrs,,,2015,7.26790634897078,,,,,1828.31452114709,25156,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000042,Milton Keynes,County & UA,Persons,5-16 yrs,,,2015,8.99635447528868,,,,,3837.9347827029,42661,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000043,Brighton and Hove,County & UA,Persons,5-16 yrs,,,2015,8.43690618873441,,,,,2820.12026264636,33426,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000044,Portsmouth,County & UA,Persons,5-16 yrs,,,2015,9.53622908949845,,,,,2654.12328018921,27832,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000045,Southampton,County & UA,Persons,5-16 yrs,,,2015,9.75966156899094,,,,,2960.30054710633,30332,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E06000046,Isle of Wight,County & UA,Persons,5-16 yrs,,,2015,9.45402660578769,,,,,1600.56670435986,16930,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E10000002,Buckinghamshire,County & UA,Persons,5-16 yrs,,,2015,7.89374715813076,,,,,6374.20083019058,80750,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E10000011,East Sussex,County & UA,Persons,5-16 yrs,,,2015,8.75298658324535,,,,,6211.90704826339,70969,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000008,South East region,E10000014,Hampshire,County & UA,Persons,5-16 yrs,,,2015,8.36263935893403,,,,,15716.4935319999,187937,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
