IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000005,West Midlands region,Region,Persons,5-16 yrs,,,2015,9.691732127155,,,,,80039.5574413947,825854,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E06000019,Herefordshire,County & UA,Persons,5-16 yrs,,,2015,8.92344771799988,,,,,2139.12888695893,23972,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E06000020,Telford and Wrekin,County & UA,Persons,5-16 yrs,,,2015,9.73322883985072,,,,,2498.42251090128,25669,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E06000021,Stoke-on-Trent,County & UA,Persons,5-16 yrs,,,2015,10.4966347062392,,,,,3713.81432541449,35381,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E06000051,Shropshire,County & UA,Persons,5-16 yrs,,,2015,8.83176462506895,,,,,3567.5913202966,40395,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000025,Birmingham,County & UA,Persons,5-16 yrs,,,2015,10.3284560083063,,,,,18950.8576531606,183482,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000026,Coventry,County & UA,Persons,5-16 yrs,,,2015,10.0394873174536,,,,,4786.62676321554,47678,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000027,Dudley,County & UA,Persons,5-16 yrs,,,2015,9.81417755079763,,,,,4374.27707616601,44571,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000028,Sandwell,County & UA,Persons,5-16 yrs,,,2015,10.6739814270045,,,,,5388.33256416614,50481,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000029,Solihull,County & UA,Persons,5-16 yrs,,,2015,8.66714124338474,,,,,2636.63103765007,30421,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000030,Walsall,County & UA,Persons,5-16 yrs,,,2015,10.3708927615957,,,,,4405.55524512585,42480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E08000031,Wolverhampton,County & UA,Persons,5-16 yrs,,,2015,10.5639921140415,,,,,3906.45864385141,36979,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E10000028,Staffordshire,County & UA,Persons,5-16 yrs,,,2015,9.13646457682204,,,,,10352.8934705801,113314,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E10000031,Warwickshire,County & UA,Persons,5-16 yrs,,,2015,8.77661759986917,,,,,6542.79288835047,74548,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000005,West Midlands region,E10000034,Worcestershire,County & UA,Persons,5-16 yrs,,,2015,8.81649729313549,,,,,6743.12162470881,76483,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,3.57064528486776,,,,,271442.918300894,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E92000001,England,E12000005,West Midlands region,Region,Persons,5-16 yrs,,,2015,3.75044705071075,,,,,30973.2169861768,825854,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E06000019,Herefordshire,County & UA,Persons,5-16 yrs,,,2015,3.43228831133604,,,,,822.788153993477,23972,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E06000020,Telford and Wrekin,County & UA,Persons,5-16 yrs,,,2015,3.80173690944732,,,,,975.867847286032,25669,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E06000021,Stoke-on-Trent,County & UA,Persons,5-16 yrs,,,2015,4.01559482633505,,,,,1420.7576055056,35381,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E06000051,Shropshire,County & UA,Persons,5-16 yrs,,,2015,3.44290700024384,,,,,1390.7622827485,40395,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000025,Birmingham,County & UA,Persons,5-16 yrs,,,2015,3.99340419106218,,,,,7327.17787784472,183482,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000026,Coventry,County & UA,Persons,5-16 yrs,,,2015,3.85477821463777,,,,,1837.88115717499,47678,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000027,Dudley,County & UA,Persons,5-16 yrs,,,2015,3.79667286693417,,,,,1692.21506352123,44571,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000028,Sandwell,County & UA,Persons,5-16 yrs,,,2015,4.08571148392677,,,,,2062.50801420107,50481,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000029,Solihull,County & UA,Persons,5-16 yrs,,,2015,3.41349511440977,,,,,1038.4193487546,30421,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000030,Walsall,County & UA,Persons,5-16 yrs,,,2015,4.01935560446056,,,,,1707.42226077485,42480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E08000031,Wolverhampton,County & UA,Persons,5-16 yrs,,,2015,4.09724668589958,,,,,1515.12085197881,36979,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E10000028,Staffordshire,County & UA,Persons,5-16 yrs,,,2015,3.53010760120292,,,,,4000.10612722708,113314,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E10000031,Warwickshire,County & UA,Persons,5-16 yrs,,,2015,3.41067686950661,,,,,2542.59139267979,74548,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000005,West Midlands region,E10000034,Worcestershire,County & UA,Persons,5-16 yrs,,,2015,3.41953824075186,,,,,2615.36543267424,76483,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,5.59542157587247,,,,,425367.809038713,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E92000001,England,E12000005,West Midlands region,Region,Persons,5-16 yrs,,,2015,5.93274128052977,,,,,48995.7811749063,825854,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E06000019,Herefordshire,County & UA,Persons,5-16 yrs,,,2015,5.38927884696851,,,,,1291.91792519529,23972,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E06000020,Telford and Wrekin,County & UA,Persons,5-16 yrs,,,2015,5.93289199631222,,,,,1522.91404653338,25669,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E06000021,Stoke-on-Trent,County & UA,Persons,5-16 yrs,,,2015,6.54168134472857,,,,,2314.51227657841,35381,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E06000051,Shropshire,County & UA,Persons,5-16 yrs,,,2015,5.28093600239044,,,,,2133.23409816562,40395,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000025,Birmingham,County & UA,Persons,5-16 yrs,,,2015,6.43165741341472,,,,,11800.9336552816,183482,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000026,Coventry,County & UA,Persons,5-16 yrs,,,2015,6.19236963675117,,,,,2952.39799541022,47678,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000027,Dudley,County & UA,Persons,5-16 yrs,,,2015,6.01197381526415,,,,,2679.59684920138,44571,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000028,Sandwell,County & UA,Persons,5-16 yrs,,,2015,6.67829535909776,,,,,3371.27028022614,50481,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000029,Solihull,County & UA,Persons,5-16 yrs,,,2015,5.12497554565563,,,,,1559.0688107439,30421,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000030,Walsall,County & UA,Persons,5-16 yrs,,,2015,6.44433733591356,,,,,2737.55450029608,42480,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E08000031,Wolverhampton,County & UA,Persons,5-16 yrs,,,2015,6.57491964818535,,,,,2431.33953670246,36979,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E10000028,Staffordshire,County & UA,Persons,5-16 yrs,,,2015,5.50097684105051,,,,,6233.37689766798,113314,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E10000031,Warwickshire,County & UA,Persons,5-16 yrs,,,2015,5.22721304295135,,,,,3896.78277925937,74548,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91138,Estimated prevalence of conduct disorders: % population aged 5-16,E12000005,West Midlands region,E10000034,Worcestershire,County & UA,Persons,5-16 yrs,,,2015,5.27479845500303,,,,,4034.32410233996,76483,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,1.50732857863566,,,,,114588.158604602,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E92000001,England,E12000005,West Midlands region,Region,Persons,5-16 yrs,,,2015,1.59395169231297,,,,,13163.7138090343,825854,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000005,West Midlands region,E06000019,Herefordshire,County & UA,Persons,5-16 yrs,,,2015,1.42486796256822,,,,,341.569347986853,23972,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000005,West Midlands region,E06000020,Telford and Wrekin,County & UA,Persons,5-16 yrs,,,2015,1.57543812543925,,,,,404.399212419001,25669,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000005,West Midlands region,E06000021,Stoke-on-Trent,County & UA,Persons,5-16 yrs,,,2015,1.77629407329876,,,,,628.470606073834,35381,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91139,Estimated prevalence of hyperkinetic disorders: % population aged 5-16,E12000005,West Midlands region,E06000051,Shropshire,County & UA,Persons,5-16 yrs,,,2015,1.38719849702247,,,,,560.358832872226,40395,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
