IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,9.23290978024279,,,,,701892.172201805,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E92000001,England,E12000003,Yorkshire and the Humber region,Region,Persons,5-16 yrs,,,2015,9.64136307282085,,,,,72254.0138994418,749417,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000010,Kingston upon Hull,County & UA,Persons,5-16 yrs,,,2015,11.0068223941395,,,,,3829.60371559297,34793,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000011,East Riding of Yorkshire,County & UA,Persons,5-16 yrs,,,2015,8.85745034870238,,,,,3779.29691478433,42668,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000012,North East Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,10.3901353571757,,,,,2325.20839158235,22379,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000013,North Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,9.97984345958679,,,,,2368.21685295994,23730,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000014,York,County & UA,Persons,5-16 yrs,,,2015,8.60310459577381,,,,,2070.07902783509,24062,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000016,Barnsley,County & UA,Persons,5-16 yrs,,,2015,10.1741103302939,,,,,3268.22946140031,32123,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000017,Doncaster,County & UA,Persons,5-16 yrs,,,2015,10.2006392064938,,,,,4365.05752924283,42792,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000018,Rotherham,County & UA,Persons,5-16 yrs,,,2015,10.0826082976812,,,,,3752.64598231396,37219,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000019,Sheffield,County & UA,Persons,5-16 yrs,,,2015,9.63836596342102,,,,,7313.97762768241,75884,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000032,Bradford,County & UA,Persons,5-16 yrs,,,2015,9.9565242819198,,,,,9158.11059975265,91981,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000033,Calderdale,County & UA,Persons,5-16 yrs,,,2015,9.32117665047293,,,,,2806.97913652342,30114,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000034,Kirklees,County & UA,Persons,5-16 yrs,,,2015,9.51392053945136,,,,,6163.68856068896,64786,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000035,Leeds,County & UA,Persons,5-16 yrs,,,2015,9.45540889540519,,,,,9734.91078235337,102956,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000036,Wakefield,County & UA,Persons,5-16 yrs,,,2015,10.0319106894317,,,,,4525.89650753712,45115,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91141,Estimated prevalence of mental health disorders in children and young people: % population aged 5-16,E12000003,Yorkshire and the Humber region,E10000023,North Yorkshire,County & UA,Persons,5-16 yrs,,,2015,8.54393373957408,,,,,6733.90137684531,78815,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,,,E92000001,England,England,Persons,5-16 yrs,,,2015,3.57064528486776,,,,,271442.918300894,7602069,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E92000001,England,E12000003,Yorkshire and the Humber region,Region,Persons,5-16 yrs,,,2015,3.72106469253061,,,,,27886.2913868221,749417,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000010,Kingston upon Hull,County & UA,Persons,5-16 yrs,,,2015,4.23480445807138,,,,,1473.41551509677,34793,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000011,East Riding of Yorkshire,County & UA,Persons,5-16 yrs,,,2015,3.45487336196104,,,,,1474.12536608154,42668,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000012,North East Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,4.03817050144484,,,,,903.702176518341,22379,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000013,North Lincolnshire,County & UA,Persons,5-16 yrs,,,2015,3.84429956385826,,,,,912.252286503565,23730,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E06000014,York,County & UA,Persons,5-16 yrs,,,2015,3.35013270994738,,,,,806.108932667539,24062,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000016,Barnsley,County & UA,Persons,5-16 yrs,,,2015,3.90402111550228,,,,,1254.0887029328,32123,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000017,Doncaster,County & UA,Persons,5-16 yrs,,,2015,3.91899390925939,,,,,1677.01587365028,42792,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000018,Rotherham,County & UA,Persons,5-16 yrs,,,2015,3.89876214939556,,,,,1451.08028438353,37219,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
91137,Estimated prevalence of emotional disorders: % population aged 5-16,E12000003,Yorkshire and the Humber region,E08000019,Sheffield,County & UA,Persons,5-16 yrs,,,2015,3.73235448710492,,,,,2832.2598789947,75884,Value is modelled or synthetic estimate,Cannot be calculated,Not compared,Not compared,20150000,,
