"NUTS level","NUTS code","Region name","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"UK","UK","United Kingdom","10807","11191","11557","12321","12779","13137","13464","13939","14427","15007","15644","16074","16344","16353","16570","17310","17866","18297","19234","19322","19514"
"Other","UK0","England","11062","11468","11851","12625","13085","13425","13741","14211","14714","15302","15962","16372","16667","16659","16854","17634","18221","18676","19693","19791","19988"
"NUTS1","UKC","North East","9244","9456","9706","10347","10802","11036","11310","11752","11971","12405","12711","13002","13603","13739","13916","14580","14801","15056","15614","15605","15809"
"NUTS2","UKC1","Tees Valley and Durham","9195","9311","9623","10237","10701","10890","11090","11543","11844","12234","12496","12744","13297","13442","13638","14243","14425","14777","15275","15221","15458"
"NUTS3","UKC11","Hartlepool","9245","9332","9714","10238","10677","11026","11263","11704","12141","12591","12884","13206","13708","13842","14202","14702","14717","15097","15498","15432","15782"
"NUTS3","UKC11","Stockton-on-Tees","9245","9332","9714","10238","10677","11026","11263","11704","12141","12591","12884","13206","13708","13842","14202","14702","14717","15097","15498","15432","15782"
"NUTS3","UKC12","South Teesside","8961","8768","9146","9771","10239","10318","10496","10874","11250","11710","11861","12120","12860","12846","13099","13956","14083","14572","14959","14835","14955"
"NUTS3","UKC13","Darlington","9612","9626","9699","10634","11483","11588","11873","12131","12343","12575","13178","13178","13840","13757","13655","14306","14691","14828","15486","15916","15953"
"NUTS3","UKC14","County Durham","9219","9547","9831","10423","10821","10997","11170","11709","11908","12255","12489","12737","13193","13474","13610","14130","14391","14697","15276","15166","15445"
"NUTS2","UKC2","Northumberland and Tyne and Wear","9285","9574","9774","10437","10885","11156","11491","11925","12075","12547","12888","13216","13855","13985","14146","14859","15111","15286","15893","15923","16099"
"NUTS3","UKC21","Northumberland","10279","10534","10957","11766","12219","12455","12973","13379","13631","14455","14751","15630","16573","16404","16552","17238","17623","17810","18463","18498","18855"
"NUTS3","UKC22","Tyneside","9192","9571","9620","10218","10691","10959","11258","11747","11770","12155","12485","12645","13237","13447","13576","14320","14503","14728","15370","15294","15432"
"NUTS3","UKC23","Sunderland","8498","8567","8944","9623","9989","10299","10529","10825","11225","11552","11969","12156","12593","12824","13101","13756","14077","14090","14550","14901","14976"
"NUTS1","UKD","North West","9779","10078","10485","11093","11469","11826","12162","12538","12912","13316","13805","14057","14567","14597","14761","15341","15723","16034","16786","16773","16861"
"NUTS2","UKD1","Cumbria","9996","10535","10716","11238","11963","12192","12721","13250","13681","14205","14758","15019","15659","15976","16080","16919","17390","17753","18555","18587","18537"
"NUTS3","UKD11","West Cumbria","9002","9521","9663","10393","10972","10981","11419","11974","12278","12852","13645","13863","14377","14693","14887","15809","16066","16387","17240","17308","17437"
"NUTS3","UKD12","East Cumbria","10936","11486","11705","12026","12882","13307","13912","14408","14944","15418","15754","16056","16810","17125","17148","17906","18564","18964","19720","19717","19504"
"NUTS2","UKD3","Greater Manchester","9608","9880","10398","11014","11335","11642","11846","12156","12492","12890","13313","13492","13891","13903","14068","14635","14981","15268","15952","15933","16106"
"NUTS3","UKD33","Manchester","7167","7536","8139","8603","8969","9404","9460","9689","10072","10356","10647","10878","11373","11351","11564","11912","12258","12492","13196","13220","13355"
"NUTS3","UKD34","Greater Manchester South West","11949","12254","12763","13563","13846","14207","14455","14832","15219","15595","16045","16229","16476","16351","16509","17092","17343","17605","18853","18966","19089"
"NUTS3","UKD35","Greater Manchester South East","9875","10123","10736","11418","11655","11981","12351","12511","12944","13420","13906","14137","14739","14871","15135","15748","16151","16621","17434","17652","17899"
"NUTS3","UKD36","Greater Manchester North West","9934","10163","10603","11213","11571","11799","12034","12409","12674","13102","13552","13662","13970","14014","14113","14724","15023","15158","15409","15198","15408"
"NUTS3","UKD37","Greater Manchester North East","9075","9324","9788","10365","10734","10991","11126","11533","11816","12237","12680","12844","13211","13239","13374","14045","14460","14810","15393","15260","15406"
"NUTS2","UKD4","Lancashire","9542","9789","10053","10712","11121","11371","11665","12035","12480","12853","13348","13693","14249","14256","14488","14860","15131","15445","16165","16208","16110"
"NUTS3","UKD41","Blackburn with Darwen","8447","8596","8998","9127","9397","9363","9701","9934","10439","10740","10917","10889","11105","11418","11390","11619","11698","12062","12470","12516","12623"
"NUTS3","UKD42","Blackpool","9584","9820","9865","10727","10875","11010","10799","10946","11116","11346","11855","12145","12641","12804","13243","13422","13651","13973","14571","14794","14796"
"NUTS3","UKD44","Lancaster","9220","9529","9789","10496","10938","11350","11683","12064","12457","12860","13362","13731","14475","14437","14635","15036","15449","15749","16203","16162","16124"
"NUTS3","UKD44","Wyre","9220","9529","9789","10496","10938","11350","11683","12064","12457","12860","13362","13731","14475","14437","14635","15036","15449","15749","16203","16162","16124"
"NUTS3","UKD45","Mid Lancashire","10793","11087","11320","12081","12626","12891","13261","13666","14112","14536","15028","15367","15999","15911","16081","16523","16745","17165","18014","18106","17924"
"NUTS3","UKD46","East Lancashire","8301","8538","8806","9353","9735","9941","10254","10681","11219","11571","12166","12648","13120","13122","13352","13673","14045","14133","14777","14965","14940"
"NUTS3","UKD47","Chorley and West Lancashire","10391","10576","10936","11741","12199","12549","12922","13347","13839","14252","14786","15189","15808","15722","16131","16624","16809","17223","18380","18092","17747"
"NUTS2","UKD6","Cheshire","11373","11710","12194","12851","13175","13896","14559","15133","15572","16040","16607","16935","17440","17357","17526","18375","18991","19498","20696","20541","20821"
"NUTS3","UKD61","Warrington","10409","10786","11163","12172","12742","13000","13326","14046","14289","14785","15491","15555","15797","15851","16177","17117","17232","17749","19035","18614","18449"
"NUTS3","UKD62","Cheshire East","12160","12524","13028","13608","13849","14766","15497","15938","16455","16975","17479","17805","18373","18244","18448","19204","20242","20875","22374","22238","22735"
"NUTS3","UKD63","Cheshire West and Chester","11077","11362","11892","12425","12695","13475","14260","14890","15357","15752","16306","16797","17395","17284","17319","18215","18671","19034","19842","19832","20147"
"NUTS2","UKD7","Merseyside","9309","9599","9983","10526","10873","11243","11589","11913","12223","12588","13113","13356","13980","14045","14168","14730","15114","15335","15966","15988","16037"
"NUTS3","UKD71","East Merseyside","8211","8474","8873","9620","10112","10397","10720","11139","11584","11941","12577","12889","13404","13457","13618","14114","14396","14593","15294","15483","15421"
"NUTS3","UKD72","Liverpool","8427","8600","9056","9561","10058","10294","10604","10928","11096","11621","11988","12012","12590","12688","12847","13326","13692","14036","14595","14518","14557"
"NUTS3","UKD73","Sefton","11409","11798","11995","12046","11858","12368","12734","13096","13643","13908","14314","14649","15536","15612","15705","16436","16963","16939","17746","17765","18003"
"NUTS3","UKD74","Wirral","10231","10641","11060","11805","12213","12773","13188","13359","13494","13736","14442","14819","15445","15485","15542","16195","16634","16926","17442","17407","17489"
"NUTS1","UKE","Yorkshire and The Humber","9660","10067","10432","11023","11364","11704","12005","12337","12640","13053","13547","13735","14093","14058","14323","14834","15159","15468","16159","16153","16119"
"NUTS2","UKE1","East Yorkshire and Northern Lincolnshire","9233","9587","10064","10573","10869","11244","11565","11935","12258","12644","13120","13288","13643","13671","14084","14489","14617","14893","15588","15642","15647"
"NUTS3","UKE11","Kingston upon Hull","7390","7766","8199","8995","9511","9802","9808","9934","10138","10208","10556","10869","11399","11418","11757","12135","12239","12586","13019","13109","12960"
"NUTS3","UKE12","East Riding of Yorkshire","10776","11035","11814","12167","12150","12659","13131","13722","14254","14866","15219","15404","15832","15898","16254","16662","16852","17139","18197","18170","18294"
"NUTS3","UKE13","North and North East Lincolnshire","9268","9681","9858","10254","10663","10952","11362","11698","11905","12306","12998","13033","13170","13162","13685","14109","14192","14395","14939","15050","15059"
"NUTS2","UKE2","North Yorkshire","11413","12205","12418","12688","13138","13736","14014","14285","14963","15823","16353","16642","17298","17066","17396","18156","18495","18719","19750","19708","19902"
"NUTS3","UKE21","York","10501","11310","11996","12442","12981","13565","13494","13129","13395","14079","14847","14939","15506","15461","15623","16413","16703","17256","17955","18049","17917"
"NUTS3","UKE22","North Yorkshire CC","11700","12487","12551","12766","13188","13790","14180","14657","15468","16383","16836","17188","17876","17588","17980","18732","19093","19212","20360","20271","20578"
"NUTS2","UKE3","South Yorkshire","8965","9295","9705","10304","10768","11041","11343","11707","11905","12191","12582","12775","13143","13140","13383","13891","14204","14639","15128","15145","15098"
"NUTS3","UKE31","Barnsley","8729","9083","9516","10167","10540","10786","11151","11389","11721","12079","12561","12659","12962","13106","13484","14047","14434","14855","15365","15385","15215"
"NUTS3","UKE31","Doncaster","8729","9083","9516","10167","10540","10786","11151","11389","11721","12079","12561","12659","12962","13106","13484","14047","14434","14855","15365","15385","15215"
"NUTS3","UKE31","Rotherham","8729","9083","9516","10167","10540","10786","11151","11389","11721","12079","12561","12659","12962","13106","13484","14047","14434","14855","15365","15385","15215"
"NUTS3","UKE32","Sheffield","9311","9605","9981","10503","11102","11416","11628","12173","12173","12354","12613","12944","13407","13189","13239","13669","13876","14331","14792","14807","14934"
"NUTS2","UKE4","West Yorkshire","9651","9988","10324","11054","11295","11568","11867","12184","12406","12746","13296","13455","13703","13691","13886","14353","14761","15041","15734","15703","15581"
"NUTS3","UKE41","Bradford","9303","9548","9930","10610","10571","10796","10925","11327","11383","11629","12035","12208","12450","12307","12430","12868","13301","13642","14255","14199","13969"
"NUTS3","UKE42","Leeds","10156","10487","10828","11685","12038","12325","12590","12726","12950","13348","13981","14249","14501","14525","14862","15241","15651","15890","16579","16614","16603"
"NUTS3","UKE44","Calderdale","9502","9883","10200","10851","11135","11371","11780","12189","12469","12807","13338","13425","13678","13665","13882","14459","14866","15156","15887","15752","15534"
"NUTS3","UKE44","Kirklees","9502","9883","10200","10851","11135","11371","11780","12189","12469","12807","13338","13425","13678","13665","13882","14459","14866","15156","15887","15752","15534"
"NUTS3","UKE45","Wakefield","9291","9694","9989","10652","10985","11377","11815","12247","12610","12975","13606","13650","13899","14027","13979","14473","14837","15087","15833","15879","15845"
"NUTS1","UKF","East Midlands","9861","10196","10526","11073","11516","11834","12268","12675","13018","13421","14133","14327","14572","14488","14804","15410","15790","16142","16904","16802","16932"
"NUTS2","UKF1","Derbyshire and Nottinghamshire","9368","9780","10165","10632","11141","11508","11914","12317","12578","13009","13670","13903","14173","13974","14180","14786","15239","15581","16389","16316","16303"
"NUTS3","UKF11","Derby","9273","9507","9842","9922","10440","10872","11086","11486","11404","12113","12398","12332","13035","12543","12541","13363","13756","14304","14873","14721","14556"
"NUTS3","UKF12","East Derbyshire","8592","9024","9531","9974","10772","11087","11281","11606","11949","12504","13145","13131","13324","13221","13512","14102","14363","14632","15569","15300","15033"
"NUTS3","UKF13","South and West Derbyshire","9671","10047","10469","11036","11497","11916","12760","13333","13799","14269","14935","15228","15391","15319","15911","16517","17221","17427","18607","18728","18781"
"NUTS3","UKF14","Nottingham","8286","8653","9004","9413","9620","9829","9892","9734","9894","10087","10511","10752","10783","10691","10729","11089","11651","11886","12374","12477","12445"
"NUTS3","UKF15","North Nottinghamshire","9028","9561","9863","10529","10956","11366","11697","12300","12532","12776","13603","13937","14296","14081","14180","14646","14894","15326","16233","16077","16097"
"NUTS3","UKF16","South Nottinghamshire","11022","11469","11853","12256","12930","13303","13801","14263","14566","15106","16042","16478","16771","16496","16548","17454","17912","18355","18893","18761","18962"
"NUTS2","UKF2","Leicestershire, Rutland and Northamptonshire","10408","10638","10936","11609","11997","12267","12713","13117","13495","13919","14690","14774","14962","14938","15356","15992","16333","16694","17500","17369","17623"
"NUTS3","UKF21","Leicester","8339","8256","8623","9189","9538","9812","9967","10163","10083","10272","10730","10622","10927","11095","11150","11628","11839","12024","12470","12750","12560"
"NUTS3","UKF22","Leicestershire CC","11130","11459","11723","12295","12677","13058","13652","14127","14548","14909","15607","15723","16060","16052","16381","16938","17225","17596","18382","18077","18380"
"NUTS3","UKF22","Rutland","11130","11459","11723","12295","12677","13058","13652","14127","14548","14909","15607","15723","16060","16052","16381","16938","17225","17596","18382","18077","18380"
"NUTS3","UKF24","West Northamptonshire","10962","11220","11515","12440","12858","12991","13364","13788","14329","14954","16027","16070","16011","15969","16958","17798","18202","18684","19716","19617","20104"
"NUTS3","UKF25","North Northamptonshire","10258","10560","10803","11480","11851","12038","12543","13008","13610","14195","15109","15387","15455","15263","15604","16329","16850","17238","18218","18010","18346"
"NUTS2","UKF3","Lincolnshire","10085","10427","10659","11138","11508","11790","12277","12701","13205","13461","14178","14516","14823","14929","15322","15858","16109","16465","16978","16853","17094"
"NUTS3","UKF30","Lincolnshire","10085","10427","10659","11138","11508","11790","12277","12701","13205","13461","14178","14516","14823","14929","15322","15858","16109","16465","16978","16853","17094"
"NUTS1","UKG","West Midlands","9840","10303","10573","11188","11610","11920","12170","12537","12747","13182","13516","13882","14207","14253","14478","14966","15381","15794","16580","16706","16885"
"NUTS2","UKG1","Herefordshire, Worcestershire and Warwickshire","11211","11821","12078","12779","13296","13725","14062","14638","15052","15718","15992","16474","16793","16724","17093","17706","18301","18838","20012","20410","20834"
"NUTS3","UKG11","Herefordshire, County of","10235","10776","10908","11553","12146","12598","13012","13682","14029","14860","15053","15645","16038","16327","16865","17288","17852","17956","18913","18875","18804"
"NUTS3","UKG12","Worcestershire","11147","11869","12053","12567","13073","13531","13750","14433","15044","15803","15889","16250","16547","16345","16659","17229","17844","18387","19433","19627","20243"
"NUTS3","UKG13","Warwickshire","11610","12127","12509","13433","13931","14317","14751","15178","15404","15918","16414","16985","17302","17250","17619","18343","18930","19607","20990","21747","22138"
"NUTS2","UKG2","Shropshire and Staffordshire","9993","10486","10755","11242","11625","11966","12344","12635","12978","13519","13964","14449","14741","14753","15001","15503","15929","16271","17152","17176","17256"
"NUTS3","UKG21","Telford and Wrekin","10080","10393","10532","10475","10407","10866","11413","11906","11838","12353","12840","13038","13385","13554","14048","14635","14881","15167","15932","16045","15937"
"NUTS3","UKG22","Shropshire CC","10765","11438","11487","11985","12226","12646","13121","13693","13953","14726","15081","15908","16331","16191","16538","16913","17248","17575","18649","18937","19133"
"NUTS3","UKG23","Stoke-on-Trent","8238","8455","8966","9387","9469","9618","9908","10190","10710","10822","11372","11542","11817","11904","12238","12680","13093","13268","13802","13933","14217"
"NUTS3","UKG24","Staffordshire CC","10255","10794","11086","11688","12295","12639","12971","13125","13522","14110","14544","15054","15291","15303","15441","15991","16488","16895","17831","17713","17729"
"NUTS2","UKG3","West Midlands","9118","9491","9765","10405","10798","11032","11163","11474","11508","11768","12063","12307","12659","12789","12940","13367","13694","14095","14657","14725","14846"
"NUTS3","UKG31","Birmingham","8785","9155","9410","10071","10447","10640","10785","11041","11038","11380","11614","11871","12134","12309","12408","12791","13038","13463","13978","13984","14128"
"NUTS3","UKG32","Solihull","12132","12651","13028","14048","15230","15714","15929","16230","16522","16755","17178","17396","17686","17679","18080","18811","19811","20387","21737","21766","21782"
"NUTS3","UKG33","Coventry","8977","9169","9473","10333","10773","11098","11098","11576","11448","11614","12217","12475","12891","13025","13173","13463","13705","13892","14202","14351","14455"
