IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000006,East of England region,Region,Male,10+ yrs,,,2015 - 17,14.2738697741201,13.4451907689199,15.1401117710001,,,1115,7885569,,Cannot be calculated,Similar,Not compared,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000031,Peterborough,County & UA,Male,10+ yrs,,,2015 - 17,17.0946982106724,12.2815348515432,23.1384364541696,,,43,247659,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000032,Luton,County & UA,Male,10+ yrs,,,2015 - 17,11.9567799122891,8.05299240699412,17.0208248831264,,,33,272160,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000033,Southend-on-Sea,County & UA,Male,10+ yrs,,,2015 - 17,14.8833470186204,10.2904019426358,20.8182213105679,,,34,230616,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000034,Thurrock,County & UA,Male,10+ yrs,,,2015 - 17,14.7595192307375,10.0676484611528,20.8707354336537,,,32,210274,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000055,Bedford,County & UA,Male,10+ yrs,,,2015 - 17,14.4349653374682,9.79758889409612,20.5010664864691,,,31,215392,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E06000056,Central Bedfordshire,County & UA,Male,10+ yrs,,,2015 - 17,11.1478481227018,7.94717649643143,15.2009899555638,,,40,355664,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E10000003,Cambridgeshire,County & UA,Male,10+ yrs,,,2015 - 17,11.8340211443803,9.60177506484912,14.4263379787433,,,99,848452,,Cannot be calculated,Lower,Similar,20150000,,
41001,Suicide rate,E12000006,East of England region,E10000012,Essex,County & UA,Male,10+ yrs,,,2015 - 17,16.8997169749035,15.0704284206092,18.8889884385682,,,313,1869483,,Cannot be calculated,Higher,Higher,20150000,,
