IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000007,London region,Region,Male,10+ yrs,,,2015 - 17,13.1416935247647,12.4184434341605,13.8940279077219,,,1409,11217850,,Cannot be calculated,Lower,Not compared,20150000,,
41001,Suicide rate,E12000007,London region,E09000001,City of London,County & UA,Male,10+ yrs,,,2015 - 17,,,,,,1,10763,Value cannot be calculated as number of cases is too small,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E12000007,London region,E09000002,Barking and Dagenham,County & UA,Male,10+ yrs,,,2015 - 17,11.5726971320053,7.59443743675024,16.8000121656949,,,30,245419,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000003,Barnet,County & UA,Male,10+ yrs,,,2015 - 17,14.3431320054341,11.0024286190359,18.3508559773882,,,67,484540,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000004,Bexley,County & UA,Male,10+ yrs,,,2015 - 17,12.2987095765543,8.68453383988552,16.9039250225301,,,38,304014,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000005,Brent,County & UA,Male,10+ yrs,,,2015 - 17,11.6275284178695,8.4601509475298,15.5307173947874,,,51,426551,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000006,Bromley,County & UA,Male,10+ yrs,,,2015 - 17,9.32322302215369,6.58216986132094,12.8158977768524,,,38,405962,,Cannot be calculated,Lower,Lower,20150000,,
41001,Suicide rate,E12000007,London region,E09000007,Camden,County & UA,Male,10+ yrs,,,2015 - 17,13.1646040373325,8.96490742567294,18.4990288306289,,,39,330897,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000008,Croydon,County & UA,Male,10+ yrs,,,2015 - 17,11.561246520784,8.64187380794977,15.130847584304,,,55,471610,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000009,Ealing,County & UA,Male,10+ yrs,,,2015 - 17,14.7542555396807,11.1155121274808,19.1446407644489,,,63,441049,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000010,Enfield,County & UA,Male,10+ yrs,,,2015 - 17,10.6759999432727,7.68475936682981,14.4221568254784,,,44,407289,,Cannot be calculated,Lower,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000011,Greenwich,County & UA,Male,10+ yrs,,,2015 - 17,11.4451074118533,7.7007723715979,16.2161730209057,,,38,355269,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000012,Hackney,County & UA,Male,10+ yrs,,,2015 - 17,13.996202968791,9.29173938058863,19.9195378825647,,,42,348084,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000013,Hammersmith and Fulham,County & UA,Male,10+ yrs,,,2015 - 17,22.0965433608466,15.0825341512565,31.033857399702,,,38,235894,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000007,London region,E09000014,Haringey,County & UA,Male,10+ yrs,,,2015 - 17,15.2221386603432,10.3233704834201,21.3266908817534,,,46,353627,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000015,Harrow,County & UA,Male,10+ yrs,,,2015 - 17,11.5731530193542,8.17657069081551,15.8874677571204,,,39,319246,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000016,Havering,County & UA,Male,10+ yrs,,,2015 - 17,12.7199942407397,8.96010075803308,17.5108845580277,,,38,314628,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000017,Hillingdon,County & UA,Male,10+ yrs,,,2015 - 17,14.7237581987063,10.96893885809,19.3065415187883,,,56,382219,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000007,London region,E09000018,Hounslow,County & UA,Male,10+ yrs,,,2015 - 17,16.9576112169657,12.5564025487395,22.3390957645902,,,55,346093,,Cannot be calculated,Similar,Similar,20150000,,
