IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000001,North East region,Region,Male,10+ yrs,,,2015 - 17,16.8486456019961,15.4705832421477,18.3155880515558,,,562,3414275,,Cannot be calculated,Higher,Not compared,20150000,,
41001,Suicide rate,E12000001,North East region,E06000001,Hartlepool,County & UA,Male,10+ yrs,,,2015 - 17,17.5021068498955,10.7862288870822,26.8157445913275,,,21,118331,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E06000002,Middlesbrough,County & UA,Male,10+ yrs,,,2015 - 17,24.0357873272534,17.1154904232933,32.7992432991338,,,40,178020,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000001,North East region,E06000003,Redcar and Cleveland,County & UA,Male,10+ yrs,,,2015 - 17,17.3232032882419,11.4244461482158,25.149440384517,,,28,173491,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E06000004,Stockton-on-Tees,County & UA,Male,10+ yrs,,,2015 - 17,12.5892411522037,8.58737427380255,17.8017192681265,,,32,250746,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E06000005,Darlington,County & UA,Male,10+ yrs,,,2015 - 17,20.9954563431217,13.9272109647797,30.3733240654925,,,28,135527,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E06000047,County Durham,County & UA,Male,10+ yrs,,,2015 - 17,17.477289254777,14.4257551033116,20.97857057873,,,117,680664,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E06000057,Northumberland,County & UA,Male,10+ yrs,,,2015 - 17,16.6171808853254,12.7981578220584,21.2050773355446,,,66,415585,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E08000021,Newcastle upon Tyne,County & UA,Male,10+ yrs,,,2015 - 17,13.8832956213463,10.1597392216097,18.4815009458848,,,50,392093,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E08000022,North Tyneside,County & UA,Male,10+ yrs,,,2015 - 17,19.4065447480133,14.3450075804356,25.657017322016,,,50,258907,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E08000023,South Tyneside,County & UA,Male,10+ yrs,,,2015 - 17,14.1881436948592,9.29400232262551,20.7156410067326,,,27,190661,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E08000024,Sunderland,County & UA,Male,10+ yrs,,,2015 - 17,17.6924032503103,13.5553750179542,22.6840021536262,,,63,357016,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000001,North East region,E08000037,Gateshead,County & UA,Male,10+ yrs,,,2015 - 17,15.0863460023807,10.7641521735098,20.5597174265992,,,40,263234,,Cannot be calculated,Similar,Similar,20150000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",,,E92000001,England,England,Male,10-34 yrs,,,2013 - 17,10.4770307233055,10.1762646560292,10.7844289367425,,,4595,43857846,,Cannot be calculated,Not compared,Not compared,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E92000001,England,E12000001,North East region,Region,Male,10-34 yrs,,,2013 - 17,13.36826907652,,,,,275,2057110,Aggregated from all known lower geography values,Cannot be calculated,Not compared,Not compared,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000001,Hartlepool,County & UA,Male,10-34 yrs,,,2013 - 17,9.92161920825479,3.98900550156601,20.4423275575842,,,7,70553,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000002,Middlesbrough,County & UA,Male,10-34 yrs,,,2013 - 17,13.6747186627734,7.96148323173055,21.8957257695283,,,17,124317,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000003,Redcar and Cleveland,County & UA,Male,10-34 yrs,,,2013 - 17,17.6842017663397,10.2958224809796,28.3156415775394,,,17,96131,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000004,Stockton-on-Tees,County & UA,Male,10-34 yrs,,,2013 - 17,12.2858861033696,7.39350435902647,19.1868982439706,,,19,154649,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000005,Darlington,County & UA,Male,10-34 yrs,,,2013 - 17,14.4641683103222,7.21063799927676,25.8819685945383,,,11,76050,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000001,North East region,E06000047,County Durham,County & UA,Male,10-34 yrs,,,2013 - 17,18.8803927121684,14.8245934475833,23.7029245799952,,,74,391941,,Cannot be calculated,Higher,Higher,20130000,,
