IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000008,South East region,Region,Male,10+ yrs,,,2015 - 17,14.2832896087643,13.5977202800253,14.9943478937842,,,1643,11625064,,Cannot be calculated,Similar,Not compared,20150000,,
41001,Suicide rate,E12000008,South East region,E06000035,Medway,County & UA,Male,10+ yrs,,,2015 - 17,16.8703291273722,12.6435484035927,22.020019446227,,,57,354847,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000036,Bracknell Forest,County & UA,Male,10+ yrs,,,2015 - 17,19.6670037054019,13.0914946494892,28.3070272270261,,,30,153580,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000037,West Berkshire,County & UA,Male,10+ yrs,,,2015 - 17,13.4523857983124,8.77317948906472,19.6932162693324,,,27,204866,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000038,Reading,County & UA,Male,10+ yrs,,,2015 - 17,13.2214728192207,8.44112111264291,19.5972046465698,,,27,209797,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000039,Slough,County & UA,Male,10+ yrs,,,2015 - 17,12.9807291125959,8.19022517611687,19.4055355851259,,,26,183155,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000040,Windsor and Maidenhead,County & UA,Male,10+ yrs,,,2015 - 17,10.6766589091681,6.42771627416191,16.6174760385011,,,20,193475,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000041,Wokingham,County & UA,Male,10+ yrs,,,2015 - 17,11.9764850751917,7.71247768512351,17.7288897239497,,,25,207843,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000042,Milton Keynes,County & UA,Male,10+ yrs,,,2015 - 17,12.5584965176566,8.82611032036505,17.2579001924019,,,42,332240,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000043,Brighton and Hove,County & UA,Male,10+ yrs,,,2015 - 17,22.4011160921651,17.5515796036996,28.1291134007981,,,80,386869,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000008,South East region,E06000044,Portsmouth,County & UA,Male,10+ yrs,,,2015 - 17,17.7454900492083,12.7637039750968,23.968746352813,,,45,284109,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E06000045,Southampton,County & UA,Male,10+ yrs,,,2015 - 17,20.5550740821814,15.5912888363454,26.5442101474432,,,63,333555,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000008,South East region,E06000046,Isle of Wight,County & UA,Male,10+ yrs,,,2015 - 17,17.0493296194969,11.47091296884,24.3463951192192,,,31,184619,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E10000002,Buckinghamshire,County & UA,Male,10+ yrs,,,2015 - 17,8.99524943538021,6.84663884948543,11.5998401105865,,,60,677007,,Cannot be calculated,Lower,Lower,20150000,,
41001,Suicide rate,E12000008,South East region,E10000011,East Sussex,County & UA,Male,10+ yrs,,,2015 - 17,19.6524712168713,16.4148032116566,23.3337755982009,,,134,706194,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000008,South East region,E10000014,Hampshire,County & UA,Male,10+ yrs,,,2015 - 17,12.2278382588322,10.6325133459203,13.993986866266,,,213,1760107,,Cannot be calculated,Lower,Lower,20150000,,
41001,Suicide rate,E12000008,South East region,E10000016,Kent,County & UA,Male,10+ yrs,,,2015 - 17,15.915062491681,14.1780173582549,17.8050496265457,,,309,1975883,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E10000025,Oxfordshire,County & UA,Male,10+ yrs,,,2015 - 17,15.1726610588126,12.6573211842368,18.0368714989772,,,131,886636,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000008,South East region,E10000030,Surrey,County & UA,Male,10+ yrs,,,2015 - 17,11.7938726807549,10.1059272075967,13.6817895162964,,,176,1509201,,Cannot be calculated,Lower,Lower,20150000,,
41001,Suicide rate,E12000008,South East region,E10000032,West Sussex,County & UA,Male,10+ yrs,,,2015 - 17,13.8540362211004,11.6951242328114,16.2944681932518,,,147,1081081,,Cannot be calculated,Similar,Similar,20150000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",,,E92000001,England,England,Male,10-34 yrs,,,2013 - 17,10.4770307233055,10.1762646560292,10.7844289367425,,,4595,43857846,,Cannot be calculated,Not compared,Not compared,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E92000001,England,E12000008,South East region,Region,Male,10-34 yrs,,,2013 - 17,10.7682640083314,,,,,730,6779180,Aggregated from all known lower geography values,Cannot be calculated,Not compared,Not compared,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000035,Medway,County & UA,Male,10-34 yrs,,,2013 - 17,9.55093251832043,5.98343900063104,14.4608840601626,,,22,230344,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000036,Bracknell Forest,County & UA,Male,10-34 yrs,,,2013 - 17,8.52278780389065,3.67953484408465,16.7932896045355,,,8,93866,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000037,West Berkshire,County & UA,Male,10-34 yrs,,,2013 - 17,7.14285714285714,3.08377872923973,14.0742760894583,,,8,112000,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000038,Reading,County & UA,Male,10-34 yrs,,,2013 - 17,8.48630441026712,4.51421844051794,14.5127079206275,,,13,153188,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000039,Slough,County & UA,Male,10-34 yrs,,,2013 - 17,14.8575628904998,8.94110974749247,23.2030921445079,,,19,127881,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000040,Windsor and Maidenhead,County & UA,Male,10-34 yrs,,,2013 - 17,10.1499423298731,5.05992175174161,18.1621565085549,,,11,108375,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000041,Wokingham,County & UA,Male,10-34 yrs,,,2013 - 17,7.10580544304697,3.06778243511378,14.0012694700786,,,8,112584,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000042,Milton Keynes,County & UA,Male,10-34 yrs,,,2013 - 17,14.3020594965675,9.64766356467696,20.4177974551863,,,30,209760,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000043,Brighton and Hove,County & UA,Male,10-34 yrs,,,2013 - 17,11.8191032524023,8.13439950654012,16.5989498623803,,,33,279209,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000044,Portsmouth,County & UA,Male,10-34 yrs,,,2013 - 17,12.9191812930255,8.58280578138134,18.6725123909148,,,28,216732,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000045,Southampton,County & UA,Male,10-34 yrs,,,2013 - 17,9.76907411721386,6.37986511373205,14.3145274204693,,,26,266146,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E06000046,Isle of Wight,County & UA,Male,10-34 yrs,,,2013 - 17,9.98236448940206,4.56457269643445,18.94963725354,,,9,90159,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000002,Buckinghamshire,County & UA,Male,10-34 yrs,,,2013 - 17,7.78730454536911,5.21420060265133,11.184273885187,,,29,372401,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000011,East Sussex,County & UA,Male,10-34 yrs,,,2013 - 17,13.2448091620263,9.73094938439874,17.613185348949,,,47,354856,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000014,Hampshire,County & UA,Male,10-34 yrs,,,2013 - 17,11.5293952412945,9.47557386139448,13.8961552459644,,,110,954083,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000016,Kent,County & UA,Male,10-34 yrs,,,2013 - 17,11.5414028002439,9.64960040331253,13.6955928684678,,,131,1135044,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000025,Oxfordshire,County & UA,Male,10-34 yrs,,,2013 - 17,9.79051850586007,7.37507761692988,12.7439476203031,,,55,561768,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000030,Surrey,County & UA,Male,10-34 yrs,,,2013 - 17,8.72957220312877,6.84231904674738,10.9762772406833,,,73,836238,,Cannot be calculated,Similar,Similar,20130000,,
91390,"Suicide crude rate 10-34 years: per 100,000 (5 year average) ",E12000008,South East region,E10000032,West Sussex,County & UA,Male,10-34 yrs,,,2013 - 17,12.3993438975743,9.66548357743303,15.6660511506025,,,70,564546,,Cannot be calculated,Similar,Similar,20130000,,
91393,"Suicide crude rate 35-64 years: per 100,000 (5 year average) ",,,E92000001,England,England,Male,35-64 yrs,,,2013 - 17,20.1352317954801,19.7512811837681,20.5247696025728,,,10465,51973576,,Cannot be calculated,Not compared,Not compared,20130000,,
91393,"Suicide crude rate 35-64 years: per 100,000 (5 year average) ",E92000001,England,E12000008,South East region,Region,Male,35-64 yrs,,,2013 - 17,19.0422092664758,,,,,1646,8643955,Aggregated from all known lower geography values,Cannot be calculated,Not compared,Not compared,20130000,,
