IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000005,West Midlands region,Region,Male,10+ yrs,,,2015 - 17,14.8402053042236,13.9683445041459,15.751954724477,,,1095,7502563,,Cannot be calculated,Similar,Not compared,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E06000019,Herefordshire,County & UA,Male,10+ yrs,,,2015 - 17,20.0432911969829,14.837401441037,26.4720242212616,,,50,250655,,Cannot be calculated,Higher,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E06000020,Telford and Wrekin,County & UA,Male,10+ yrs,,,2015 - 17,15.6951575297292,10.9493490413963,21.7829985156219,,,36,223817,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E06000021,Stoke-on-Trent,County & UA,Male,10+ yrs,,,2015 - 17,13.9655288220354,10.1547648791921,18.7259421308463,,,45,328481,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E06000051,Shropshire,County & UA,Male,10+ yrs,,,2015 - 17,13.5314856186472,10.1471101196617,17.6696589760331,,,55,419481,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E08000025,Birmingham,County & UA,Male,10+ yrs,,,2015 - 17,11.3202051326569,9.49772820437219,13.3803312463754,,,147,1410835,,Cannot be calculated,Lower,Lower,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E08000026,Coventry,County & UA,Male,10+ yrs,,,2015 - 17,12.4008217459981,9.20894006194619,16.303627374047,,,55,461192,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E08000027,Dudley,County & UA,Male,10+ yrs,,,2015 - 17,16.3395944516527,12.5991726120886,20.8394362189914,,,65,408477,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000005,West Midlands region,E08000028,Sandwell,County & UA,Male,10+ yrs,,,2015 - 17,16.5635217123449,12.7459108129309,21.1433747994131,,,67,405845,,Cannot be calculated,Similar,Similar,20150000,,
