IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,Category_Type,Category,Timeperiod,Value,Lower_CI_95.0_limit,Upper_CI_95.0_limit,Lower_CI_99.8_limit,Upper_CI_99.8_limit,Count,Denominator,Value_note,Recent_Trend,Compared_to_England_value_or_percentiles,Compared_to_Region_value_or_percentiles,Time_period_Sortable,New_data,Compared_to_goal
41001,Suicide rate,,,E92000001,England,England,Male,10+ yrs,,,2015 - 17,14.690279082344,14.4070707126033,14.9776232268464,,,10392,71292662,,Cannot be calculated,Not compared,Not compared,20150000,,
41001,Suicide rate,E92000001,England,E12000003,Yorkshire and the Humber region,Region,Male,10+ yrs,,,2015 - 17,16.3380958667198,15.3918343233278,17.3268805744415,,,1134,7005332,,Cannot be calculated,Higher,Not compared,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E06000010,Kingston upon Hull,County & UA,Male,10+ yrs,,,2015 - 17,21.9818980706068,17.2147827767087,27.6436063759313,,,75,339175,,Cannot be calculated,Higher,Higher,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E06000011,East Riding of Yorkshire,County & UA,Male,10+ yrs,,,2015 - 17,13.3989845757178,10.1005348582724,17.4107215117863,,,58,444092,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E06000012,North East Lincolnshire,County & UA,Male,10+ yrs,,,2015 - 17,18.7072161880247,13.2711748005056,25.6120373302138,,,39,205081,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E06000013,North Lincolnshire,County & UA,Male,10+ yrs,,,2015 - 17,12.8247072582027,8.57330966243868,18.4373321679186,,,29,222887,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E06000014,York,County & UA,Male,10+ yrs,,,2015 - 17,18.5090633566416,13.5886678209227,24.5983860002582,,,49,271587,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E08000016,Barnsley,County & UA,Male,10+ yrs,,,2015 - 17,17.5629183633366,13.1640160030528,22.9415829218424,,,55,313220,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E08000017,Doncaster,County & UA,Male,10+ yrs,,,2015 - 17,17.3394879234254,13.4444443641437,22.0059113056155,,,68,398881,,Cannot be calculated,Similar,Similar,20150000,,
41001,Suicide rate,E12000003,Yorkshire and the Humber region,E08000018,Rotherham,County & UA,Male,10+ yrs,,,2015 - 17,23.989435314868,18.8966350646671,30.0176290214064,,,78,337185,,Cannot be calculated,Higher,Higher,20150000,,
